Position[X] (m),Position[Y] (m),Position[Z] (m)
0.0219,-0.098911008563132,0.052176619650208
0.0219,-0.098911008563132,0.04173342056286
0.0219,-0.098911008563132,0.031290221475512
0.0219,-0.098911008563132,0.020847022388164
0.0219,-0.098911008563132,0.010403823300816
0.0219,-0.098911008563132,-3.93757865326805E-05
0.0219,-0.098911008563132,-0.010482574873881
0.0219,-0.098911008563132,-0.020925773961229
0.0219,-0.098911008563132,-0.031368973048577
0.0219,-0.098911008563132,-0.041812172135925
0.0219,-0.098911008563132,-0.052255371223273
0.0219,-0.07910157177792,0.052176619650208
0.0219,-0.07910157177792,0.04173342056286
0.0219,-0.07910157177792,0.031290221475512
0.0219,-0.07910157177792,0.020847022388164
0.0219,-0.07910157177792,0.010403823300816
0.0219,-0.07910157177792,-3.93757865326805E-05
0.0219,-0.07910157177792,-0.010482574873881
0.0219,-0.07910157177792,-0.020925773961229
0.0219,-0.07910157177792,-0.031368973048577
0.0219,-0.07910157177792,-0.041812172135925
0.0219,-0.07910157177792,-0.052255371223273
0.0219,-0.059292134992708,0.052176619650208
0.0219,-0.059292134992708,0.04173342056286
0.0219,-0.059292134992708,0.031290221475512
0.0219,-0.059292134992708,0.020847022388164
0.0219,-0.059292134992708,0.010403823300816
0.0219,-0.059292134992708,-3.93757865326805E-05
0.0219,-0.059292134992708,-0.010482574873881
0.0219,-0.059292134992708,-0.020925773961229
0.0219,-0.059292134992708,-0.031368973048577
0.0219,-0.059292134992708,-0.041812172135925
0.0219,-0.059292134992708,-0.052255371223273
0.0219,-0.039482698207496,0.052176619650208
0.0219,-0.039482698207496,0.04173342056286
0.0219,-0.039482698207496,0.031290221475512
0.0219,-0.039482698207496,0.020847022388164
0.0219,-0.039482698207496,0.010403823300816
0.0219,-0.039482698207496,-3.93757865326805E-05
0.0219,-0.039482698207496,-0.010482574873881
0.0219,-0.039482698207496,-0.020925773961229
0.0219,-0.039482698207496,-0.031368973048577
0.0219,-0.039482698207496,-0.041812172135925
0.0219,-0.039482698207496,-0.052255371223273
0.0219,-0.019673261422284,0.052176619650208
0.0219,-0.019673261422284,0.04173342056286
0.0219,-0.019673261422284,0.031290221475512
0.0219,-0.019673261422284,0.020847022388164
0.0219,-0.019673261422284,0.010403823300816
0.0219,-0.019673261422284,-3.93757865326805E-05
0.0219,-0.019673261422284,-0.010482574873881
0.0219,-0.019673261422284,-0.020925773961229
0.0219,-0.019673261422284,-0.031368973048577
0.0219,-0.019673261422284,-0.041812172135925
0.0219,-0.019673261422284,-0.052255371223273
0.0219,0.000136175362928,0.052176619650208
0.0219,0.000136175362928,0.04173342056286
0.0219,0.000136175362928,0.031290221475512
0.0219,0.000136175362928,0.020847022388164
0.0219,0.000136175362928,0.010403823300816
0.0219,0.000136175362928,-3.93757865326805E-05
0.0219,0.000136175362928,-0.010482574873881
0.0219,0.000136175362928,-0.020925773961229
0.0219,0.000136175362928,-0.031368973048577
0.0219,0.000136175362928,-0.041812172135925
0.0219,0.000136175362928,-0.052255371223273
0.0219,0.01994561214814,0.052176619650208
0.0219,0.01994561214814,0.04173342056286
0.0219,0.01994561214814,0.031290221475512
0.0219,0.01994561214814,0.020847022388164
0.0219,0.01994561214814,0.010403823300816
0.0219,0.01994561214814,-3.93757865326805E-05
0.0219,0.01994561214814,-0.010482574873881
0.0219,0.01994561214814,-0.020925773961229
0.0219,0.01994561214814,-0.031368973048577
0.0219,0.01994561214814,-0.041812172135925
0.0219,0.01994561214814,-0.052255371223273
0.0219,0.039755048933352,0.052176619650208
0.0219,0.039755048933352,0.04173342056286
0.0219,0.039755048933352,0.031290221475512
0.0219,0.039755048933352,0.020847022388164
0.0219,0.039755048933352,0.010403823300816
0.0219,0.039755048933352,-3.93757865326805E-05
0.0219,0.039755048933352,-0.010482574873881
0.0219,0.039755048933352,-0.020925773961229
0.0219,0.039755048933352,-0.031368973048577
0.0219,0.039755048933352,-0.041812172135925
0.0219,0.039755048933352,-0.052255371223273
0.0219,0.059564485718564,0.052176619650208
0.0219,0.059564485718564,0.04173342056286
0.0219,0.059564485718564,0.031290221475512
0.0219,0.059564485718564,0.020847022388164
0.0219,0.059564485718564,0.010403823300816
0.0219,0.059564485718564,-3.93757865326805E-05
0.0219,0.059564485718564,-0.010482574873881
0.0219,0.059564485718564,-0.020925773961229
0.0219,0.059564485718564,-0.031368973048577
0.0219,0.059564485718564,-0.041812172135925
0.0219,0.059564485718564,-0.052255371223273
0.0219,0.079373922503776,0.052176619650208
0.0219,0.079373922503776,0.04173342056286
0.0219,0.079373922503776,0.031290221475512
0.0219,0.079373922503776,0.020847022388164
0.0219,0.079373922503776,0.010403823300816
0.0219,0.079373922503776,-3.93757865326805E-05
0.0219,0.079373922503776,-0.010482574873881
0.0219,0.079373922503776,-0.020925773961229
0.0219,0.079373922503776,-0.031368973048577
0.0219,0.079373922503776,-0.041812172135925
0.0219,0.079373922503776,-0.052255371223273
0.0219,0.099183359288988,0.052176619650208
0.0219,0.099183359288988,0.04173342056286
0.0219,0.099183359288988,0.031290221475512
0.0219,0.099183359288988,0.020847022388164
0.0219,0.099183359288988,0.010403823300816
0.0219,0.099183359288988,-3.93757865326805E-05
0.0219,0.099183359288988,-0.010482574873881
0.0219,0.099183359288988,-0.020925773961229
0.0219,0.099183359288988,-0.031368973048577
0.0219,0.099183359288988,-0.041812172135925
0.0219,0.099183359288988,-0.052255371223273
